Time,X,Y,Z
2.983654,0.5130828,0.231353,9.378193
3.983973,0.5130828,0.231353,9.378193
4.9842,0.5160484,0.231353,9.373532
5.984715,1.526033,0.231353,9.367006
6.984757,1.526033,0.231353,9.367006
7.986456,2.173836,0.231353,9.025999
8.987503,3.141928,0.231353,9.108698
9.989156,2.147287,0.231353,8.363445
10.99018,1.950858,0.231353,8.337934
11.99021,1.950858,0.231353,8.337934
12.99093,1.950858,0.231353,8.337934
13.99165,2.083791,0.231353,8.355544
14.99359,3.553442,0.231353,9.074218
15.99406,3.63414,0.231353,9.369284
16.99439,3.63414,0.231353,9.369284
17.99538,3.63414,0.231353,9.369284
18.99644,3.848123,0.2313529,8.72677
19.99705,5.489879,0.231353,8.686886
20.99839,6.670951,0.231353,9.348337
21.99894,6.670863,0.231353,9.349591
23.00026,6.684801,0.231353,9.150272
24.00251,6.003245,0.231353,8.394711
25.00681,4.3444,0.2313529,8.819055
26.00925,3.788311,0.231353,9.375856
27.00946,3.854727,0.231353,9.065262
28.01114,3.54826,0.2313529,8.944228
29.01298,3.52747,0.231353,9.354622
30.0148,3.529639,0.231353,9.311817
31.01631,3.547589,0.2313529,8.957468
32.01719,3.547589,0.2313529,8.957468
33.0183,3.547589,0.2313529,8.957468
34.01985,3.547589,0.2313529,8.957468
35.02113,3.547589,0.2313529,8.957468
36.02297,3.547589,0.2313529,8.957468
37.02507,3.547589,0.2313529,8.957468
38.02556,3.544551,0.231353,9.238439
39.02597,3.552223,0.231353,9.360688
40.0275,3.552223,0.231353,9.360688
41.02767,3.552223,0.231353,9.360688
42.02963,3.57268,0.231353,9.327915
43.03035,3.61617,0.231353,9.360491
44.03108,3.61617,0.231353,9.360491
45.04174,3.614571,0.231353,9.375705
46.0418,3.614571,0.231353,9.375705
47.04356,3.614571,0.231353,9.375705
48.04553,3.614571,0.231353,9.375705
49.04636,3.632793,0.231353,9.202339
50.04785,3.61409,0.231353,9.38028
51.05822,3.61409,0.231353,9.38028
52.05873,3.637653,0.231353,9.156093
53.06115,3.616448,0.231353,9.357851
54.0629,3.616448,0.231353,9.357851
55.06432,3.616448,0.231353,9.357851
56.0661,3.616448,0.231353,9.357851
57.06782,3.760236,0.231353,9.352375
58.06913,3.75407,0.231353,9.368027
59.07079,3.75407,0.231353,9.368027
60.0722,3.75407,0.231353,9.368027
0.9816444,0.4677044,0.2313531,7.118134
1.983752,0.4557048,0.2313531,7.067476
2.986252,0.557893,0.231353,7.393559
3.988741,0.6295596,0.2313529,7.622246
4.991131,0.6295596,0.2313529,7.622246
5.99126,0.4372206,0.231353,7.049626
6.996891,0.4372206,0.231353,7.049626
7.9984,0.4451327,0.2313531,7.0709
8.999071,0.525674,0.231353,7.287468
10.00231,0.4370642,0.231353,7.049205
11.00344,0.647485,0.231353,7.615007
12.0055,0.4442678,0.231353,7.068575
13.00737,0.4737909,0.231353,7.14796
14.00741,0.5865257,0.2313529,7.451531
0.9808862,0.1722525,0.2313529,7.696333
1.981851,0.1722525,0.2313529,7.696333
2.983406,0.1722525,0.2313529,7.696333
3.983572,0.1722525,0.2313529,7.696333
4.986023,0.8708654,0.2954253,7.484365
5.986568,2.771586,0.2313529,6.972239
6.988374,4.365309,0.231353,5.770542
7.989677,4.365309,0.2313529,5.770542
8.991586,4.354509,0.231353,5.500447
9.992396,4.354509,0.231353,5.500447
10.99356,4.354509,0.231353,5.500447
11.99446,4.354509,0.231353,5.500447
12.99647,4.354509,0.231353,5.500447
13.99821,4.321288,0.2313529,5.734077
14.99842,4.368432,0.2313529,5.866145
15.99975,4.315538,0.2313529,5.714728
17.00093,4.356693,0.2313529,5.629588
18.00107,3.892724,0.2313529,5.880455
19.00335,4.356315,0.231353,5.66504
20.00394,3.948336,0.2313529,5.84311
21.00536,4.370159,0.2313529,5.665952
22.00715,4.370159,0.2313529,5.665952
23.00729,3.936989,0.231353,5.862445
24.01045,4.369796,0.231353,5.666013
25.01217,3.948356,0.231353,5.854679
26.01404,4.364408,0.231353,5.669442
27.01505,4.164365,0.2313529,5.882227
28.01624,4.350755,0.2313529,5.770629
29.01649,3.858802,0.231353,6.061113
30.01782,4.368373,0.2313529,5.756144
31.01813,4.34994,0.231353,5.767175
32.02044,4.358249,0.2313529,5.762202
33.02077,4.358249,0.2313529,5.762202
34.02094,3.913542,0.231353,6.022326
35.02297,4.358741,0.231353,5.767359
36.02317,4.142612,0.2313529,5.891137
37.02353,4.145454,0.231353,6.411308
38.02473,4.649659,0.231353,7.552948
39.02613,5.072425,0.231353,8.731598
40.02653,5.320672,0.231353,9.353691
41.02687,5.320672,0.231353,9.353691
42.02715,5.279295,0.231353,9.256684
43.02799,5.227999,0.231353,9.136421
44.02803,5.321036,0.231353,9.354545
45.02828,5.151806,0.2313529,8.938875
0.9804456,0.1897155,0.231353,7.665842
1.981116,0.3413685,0.2313529,6.498316
2.982532,0.3370322,0.231353,5.635999
3.982922,0.3370322,0.2313529,5.635999
4.985222,0.3096486,0.231353,6.110914
5.986313,0.3368669,0.2313529,5.638864
6.987633,0.3368669,0.2313529,5.638864
7.98944,0.3206801,0.2313529,5.928385
8.99052,0.2961194,0.231353,6.367684
9.992932,0.3048278,0.231353,6.211923
10.99533,0.3374031,0.2313529,5.629273
11.99631,0.3374031,0.2313529,5.629273
12.99844,0.3374031,0.2313529,5.629273
